arm,arm_label,denominator,error_rate,n_quartets,n_states,note,retention_coverage_states,seed,state_kind
ordered,ordered rel10,retained_startcorrect,0.02459016393442623,61,61,起点高置信且起点判对（统一 start-correct）,0.3836477987421384,803,flip
ordered,ordered rel10,all_states,0.16666666666666666,159,318,无保留筛选；全部编辑状态,1.0,805,keep
ordered,ordered rel10,retained,0.13768115942028986,69,138,仅起点高置信（不要求 start-correct）,0.4339622641509434,805,keep
ordered,ordered rel10,retained_startcorrect,0.13768115942028986,69,138,起点高置信且起点判对（统一 start-correct）,0.4339622641509434,805,keep
ordered,ordered rel10,all_states,0.03459119496855346,159,159,无保留筛选；全部编辑状态,1.0,805,flip
ordered,ordered rel10,retained,0.036231884057971016,69,69,仅起点高置信（不要求 start-correct）,0.4339622641509434,805,flip
ordered,ordered rel10,retained_startcorrect,0.036231884057971016,69,69,起点高置信且起点判对（统一 start-correct）,0.4339622641509434,805,flip
ordered,ordered rel10,all_states,0.1069182389937107,159,318,无保留筛选；全部编辑状态,1.0,806,keep
ordered,ordered rel10,retained,0.11805555555555555,72,144,仅起点高置信（不要求 start-correct）,0.4528301886792453,806,keep
ordered,ordered rel10,retained_startcorrect,0.11805555555555555,72,144,起点高置信且起点判对（统一 start-correct）,0.4528301886792453,806,keep
ordered,ordered rel10,all_states,0.03773584905660377,159,159,无保留筛选；全部编辑状态,1.0,806,flip
ordered,ordered rel10,retained,0.034722222222222224,72,72,仅起点高置信（不要求 start-correct）,0.4528301886792453,806,flip
ordered,ordered rel10,retained_startcorrect,0.034722222222222224,72,72,起点高置信且起点判对（统一 start-correct）,0.4528301886792453,806,flip
matched,matched rel10,all_states,0.1320754716981132,159,318,无保留筛选；全部编辑状态,1.0,803,keep
matched,matched rel10,retained,0.13414634146341464,82,164,仅起点高置信（不要求 start-correct）,0.5157232704402516,803,keep
matched,matched rel10,retained_startcorrect,0.13414634146341464,82,164,起点高置信且起点判对（统一 start-correct）,0.5157232704402516,803,keep
matched,matched rel10,all_states,0.03773584905660377,159,159,无保留筛选；全部编辑状态,1.0,803,flip
matched,matched rel10,retained,0.03048780487804878,82,82,仅起点高置信（不要求 start-correct）,0.5157232704402516,803,flip
matched,matched rel10,retained_startcorrect,0.03048780487804878,82,82,起点高置信且起点判对（统一 start-correct）,0.5157232704402516,803,flip
matched,matched rel10,all_states,0.1320754716981132,159,318,无保留筛选；全部编辑状态,1.0,805,keep
matched,matched rel10,retained,0.1,80,160,仅起点高置信（不要求 start-correct）,0.5031446540880503,805,keep
matched,matched rel10,retained_startcorrect,0.1,80,160,起点高置信且起点判对（统一 start-correct）,0.5031446540880503,805,keep
matched,matched rel10,all_states,0.05345911949685535,159,159,无保留筛选；全部编辑状态,1.0,805,flip
matched,matched rel10,retained,0.0625,80,80,仅起点高置信（不要求 start-correct）,0.5031446540880503,805,flip
matched,matched rel10,retained_startcorrect,0.0625,80,80,起点高置信且起点判对（统一 start-correct）,0.5031446540880503,805,flip
matched,matched rel10,all_states,0.12264150943396226,159,318,无保留筛选；全部编辑状态,1.0,806,keep
matched,matched rel10,retained,0.17142857142857143,35,70,仅起点高置信（不要求 start-correct）,0.22012578616352202,806,keep
matched,matched rel10,retained_startcorrect,0.17142857142857143,35,70,起点高置信且起点判对（统一 start-correct）,0.22012578616352202,806,keep
matched,matched rel10,all_states,0.040880503144654086,159,159,无保留筛选；全部编辑状态,1.0,806,flip
matched,matched rel10,retained,0.08571428571428572,35,35,仅起点高置信（不要求 start-correct）,0.22012578616352202,806,flip
matched,matched rel10,retained_startcorrect,0.08571428571428572,35,35,起点高置信且起点判对（统一 start-correct）,0.22012578616352202,806,flip
shuffled_matched,shuffled-matched,all_states,0.1509433962264151,159,318,无保留筛选；全部编辑状态,1.0,803,keep
shuffled_matched,shuffled-matched,retained,0.12345679012345678,81,162,仅起点高置信（不要求 start-correct）,0.5094339622641509,803,keep
shuffled_matched,shuffled-matched,retained_startcorrect,0.12345679012345678,81,162,起点高置信且起点判对（统一 start-correct）,0.5094339622641509,803,keep
shuffled_matched,shuffled-matched,all_states,0.09748427672955975,159,159,无保留筛选；全部编辑状态,1.0,803,flip
shuffled_matched,shuffled-matched,retained,0.12962962962962962,81,81,仅起点高置信（不要求 start-correct）,0.5094339622641509,803,flip
shuffled_matched,shuffled-matched,retained_startcorrect,0.12962962962962962,81,81,起点高置信且起点判对（统一 start-correct）,0.5094339622641509,803,flip
shuffled_matched,shuffled-matched,all_states,0.12264150943396226,159,318,无保留筛选；全部编辑状态,1.0,805,keep
shuffled_matched,shuffled-matched,retained,0.14615384615384616,65,130,仅起点高置信（不要求 start-correct）,0.4088050314465409,805,keep
shuffled_matched,shuffled-matched,retained_startcorrect,0.14615384615384616,65,130,起点高置信且起点判对（统一 start-correct）,0.4088050314465409,805,keep
shuffled_matched,shuffled-matched,all_states,0.05660377358490566,159,159,无保留筛选；全部编辑状态,1.0,805,flip
shuffled_matched,shuffled-matched,retained,0.038461538461538464,65,65,仅起点高置信（不要求 start-correct）,0.4088050314465409,805,flip
shuffled_matched,shuffled-matched,retained_startcorrect,0.038461538461538464,65,65,起点高置信且起点判对（统一 start-correct）,0.4088050314465409,805,flip
shuffled_matched,shuffled-matched,all_states,0.10062893081761007,159,318,无保留筛选；全部编辑状态,1.0,806,keep
shuffled_matched,shuffled-matched,retained,0.12666666666666668,75,150,仅起点高置信（不要求 start-correct）,0.4716981132075472,806,keep
shuffled_matched,shuffled-matched,retained_startcorrect,0.12666666666666668,75,150,起点高置信且起点判对（统一 start-correct）,0.4716981132075472,806,keep
shuffled_matched,shuffled-matched,all_states,0.03773584905660377,159,159,无保留筛选；全部编辑状态,1.0,806,flip
shuffled_matched,shuffled-matched,retained,0.04,75,75,仅起点高置信（不要求 start-correct）,0.4716981132075472,806,flip
shuffled_matched,shuffled-matched,retained_startcorrect,0.04,75,75,起点高置信且起点判对（统一 start-correct）,0.4716981132075472,806,flip
